Entity,Year,肥胖死亡占比,每10万中因肥胖而死亡的人数,Region
Liberia,1991,1.5,44.36665145,Africa
Libya,1991,12.46,120.3950385,Eastern Mediterranean
Lithuania,1991,11.6,103.8940396,Europe
Luxembourg,1991,9.24,42.22820442,Europe
Madagascar,1991,1.54,57.87914668,Africa
Malawi,1991,0.63,38.72132892,Africa
Malaysia,1991,6.55,32.08839427,Western Pacific
Maldives,1991,3.1,66.2706204,South-East Asia
Mali,1991,0.78,129.1318829,Africa
Malta,1991,10.43,89.59285922,Europe
Marshall Islands,1991,7.76,96.81487199,Western Pacific
Mauritania,1991,4.09,83.7164098,Africa
Mauritius,1991,11.12,161.6442048,Africa
Mexico,1991,8.47,40.35495256,Americas
Micronesia,1991,11.14,106.3174269,Western Pacific
Mongolia,1991,7.14,27.80744494,Western Pacific
Montenegro,1991,14.06,29.91682326,Europe
Morocco,1991,9.48,88.10490231,Eastern Mediterranean
Mozambique,1991,0.73,15.63829792,Africa
Myanmar,1991,1.48,51.87288406,South-East Asia
Namibia,1991,5.01,63.39213181,Africa
Nepal,1991,0.75,60.3780979,Western Pacific
Netherlands,1991,8.37,30.0875125,South-East Asia
New Zealand,1991,9.74,33.66517412,Europe
Nicaragua,1991,5.05,116.6812518,Western Pacific
Niger,1991,0.53,75.21378945,Africa
Nigeria,1991,1.1,26.88857152,Africa
Norway,1991,8.08,135.0521479,Europe
