ISO,Country,Region,Both sexes,Year
COD,Democratic Republic of the Congo,Africa,21.8,2018
DNK,Denmark,Europe,25.7,2018
DJI,Djibouti,Eastern Mediterranean,23.8,2018
DMA,Dominica,Americas,27,2018
DOM,Dominican Republic,Americas,26.4,2018
ECU,Ecuador,Americas,27.1,2018
EGY,Egypt,Eastern Mediterranean,29.4,2018
SLV,El Salvador,Americas,27.4,2018
GNQ,Equatorial Guinea,Africa,24,2018
ERI,Eritrea,Africa,20.5,2018
EST,Estonia,Europe,27,2018
SWZ,Eswatini,Africa,26.1,2018
ETH,Ethiopia,Africa,20.5,2018
FJI,Fiji,Western Pacific,27.7,2018
FIN,Finland,Europe,26.6,2018
FRA,France,Europe,25.6,2018
GAB,Gabon,Africa,24.9,2018
GMB,Gambia,Africa,23.6,2018
GEO,Georgia,Europe,28.1,2018
DEU,Germany,Europe,27.4,2018
GHA,Ghana,Africa,23.8,2018
GRC,Greece,Europe,27.7,2018
GRD,Grenada,Americas,26.9,2018
GTM,Guatemala,Americas,26.3,2018
GIN,Guinea,Africa,22.7,2018
GNB,Guinea-Bissau,Africa,23.2,2018
GUY,Guyana,Americas,26.3,2018
HTI,Haiti,Americas,25.1,2018
HND,Honduras,Americas,26.5,2018
HUN,Hungary,Europe,27.9,2018
ISL,Iceland,Europe,26.5,2018
IND,India,South-East Asia,21.8,2018
IDN,Indonesia,South-East Asia,23.2,2018
IRN,Iran (Islamic Republic of),Eastern Mediterranean,26.1,2018
IRQ,Iraq,Eastern Mediterranean,28.3,2018
IRL,Ireland,Europe,27.8,2018
ISR,Israel,Europe,27.4,2018
ITA,Italy,Europe,26.3,2018
JAM,Jamaica,Americas,27.7,2018
JPN,Japan,Western Pacific,22.8,2018
JOR,Jordan,Eastern Mediterranean,28.5,2018
KAZ,Kazakhstan,Europe,26.4,2018
KEN,Kenya,Africa,23.2,2018
KIR,Kiribati,Western Pacific,30,2018
KWT,Kuwait,Eastern Mediterranean,29.5,2018
KGZ,Kyrgyzstan,Europe,26.2,2018
LAO,Lao People's Democratic Republic,Western Pacific,22.7,2018
LVA,Latvia,Europe,27.4,2018
LBN,Lebanon,Eastern Mediterranean,27.5,2018
LSO,Lesotho,Africa,24.5,2018
LBR,Liberia,Africa,24,2018
LBY,Libya,Eastern Mediterranean,27.9,2018
LTU,Lithuania,Europe,27,2018
LUX,Luxembourg,Europe,26.8,2018
MDG,Madagascar,Africa,21.2,2018
MWI,Malawi,Africa,22.8,2018
MYS,Malaysia,Western Pacific,25.7,2018
MDV,Maldives,South-East Asia,25.1,2018
MLI,Mali,Africa,22.9,2018
MLT,Malta,Europe,27.7,2018
MHL,Marshall Islands,Western Pacific,29.5,2018
MRT,Mauritania,Africa,24.6,2018
MUS,Mauritius,Africa,25.4,2018
MEX,Mexico,Americas,27.9,2018
FSM,Micronesia (Federated States of),Western Pacific,29.1,2018
MNG,Mongolia,Western Pacific,26.1,2018
MNE,Montenegro,Europe,26.9,2018
